City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Lorengau,PG,2020-04-15 22:48:48,-2.02,147.27,84.54,68,79,1.72
215,Tevaitoa,PF,2020-04-15 22:48:48,-16.78,-151.5,84.16,65,29,7.92
216,Snezhnogorsk,RU,2020-04-15 22:48:48,69.19,33.25,30.2,74,98,6.71
217,Quebo,GW,2020-04-15 22:48:48,11.33,-14.93,78.8,60,52,4.18
218,Mount Gambier,AU,2020-04-15 22:48:49,-37.83,140.77,57.2,93,90,4.7
219,Tautira,PF,2020-04-15 22:48:49,-17.73,-149.15,89.6,66,21,9.17
220,Guilin,CN,2020-04-15 22:48:49,25.28,110.29,68.0,88,75,4.47
221,Ayan,RU,2020-04-15 22:48:49,56.45,138.17,38.52,72,47,8.43
222,Empalme,MX,2020-04-15 22:48:49,27.97,-110.82,89.01,25,0,8.99
223,Meulaboh,ID,2020-04-15 22:48:50,4.14,96.13,79.25,83,85,4.05
224,Pimentel,PE,2020-04-15 22:48:50,-6.84,-79.93,73.4,75,2,12.5
225,Arandis,NA,2020-04-15 22:48:50,-22.42,14.97,57.99,91,0,3.0
226,Encinitas,US,2020-04-15 22:48:50,33.04,-117.29,81.0,33,1,3.36
227,Luoyang,CN,2020-04-15 22:48:50,34.68,112.45,66.0,99,54,8.63
228,Buin,CL,2020-04-15 22:48:51,-33.73,-70.75,68.0,40,100,4.7
229,Eureka,US,2020-04-15 22:48:51,40.8,-124.16,60.01,71,1,21.92
230,Lingao,CN,2020-04-15 22:48:51,19.91,109.69,71.56,83,100,8.39
231,Bandarbeyla,SO,2020-04-15 22:48:51,9.49,50.81,81.43,76,9,6.69
232,Manokwari,ID,2020-04-15 22:48:52,-0.87,134.08,83.62,65,58,0.98
233,Shetpe,KZ,2020-04-15 22:48:52,44.17,52.12,51.51,40,47,16.33
234,Zhigansk,RU,2020-04-15 22:48:52,66.77,123.37,3.72,90,55,20.07
235,Kibuye,RW,2020-04-15 22:48:52,-2.06,29.35,64.53,51,97,1.01
236,Maceio,BR,2020-04-15 22:46:05,-9.67,-35.74,78.8,88,19,5.82
237,Sergeyevka,KZ,2020-04-15 22:48:53,53.88,67.42,42.4,71,77,10.49
238,Trincomalee,LK,2020-04-15 22:48:53,8.57,81.23,80.35,80,41,4.59
239,Palmer,US,2020-04-15 22:48:53,42.16,-72.33,48.2,24,40,12.75
240,Salcedo,PH,2020-04-15 22:48:53,12.81,121.47,81.52,75,26,3.96
241,Mezen,RU,2020-04-15 22:48:54,65.85,44.24,36.19,84,97,12.53
242,Oranjestad,AW,2020-04-15 22:46:28,12.52,-70.03,82.4,74,40,18.34
243,Lokosovo,RU,2020-04-15 22:48:54,61.13,74.82,36.18,97,100,2.06
244,Coihaique,CL,2020-04-15 22:48:54,-45.58,-72.07,57.2,82,75,3.36
245,Tarko-Sale,RU,2020-04-15 22:48:55,64.92,77.78,23.0,69,3,11.21
246,Soyo,AO,2020-04-15 22:48:55,-6.13,12.37,80.42,85,100,8.66
247,Khilok,RU,2020-04-15 22:48:55,51.37,110.47,40.19,61,98,1.86
248,Sorland,NO,2020-04-15 22:48:55,67.67,12.69,36.1,77,70,13.24
249,Salinopolis,BR,2020-04-15 22:48:56,-0.61,-47.36,79.86,78,94,3.36
250,Samarai,PG,2020-04-15 22:48:56,-10.62,150.67,83.82,75,95,7.92
251,Guerrero Negro,MX,2020-04-15 22:47:55,27.98,-114.06,75.31,28,0,16.91
252,Eyl,SO,2020-04-15 22:48:56,7.98,49.82,82.67,77,13,7.65
253,Arlit,NE,2020-04-15 22:48:56,18.74,7.39,82.71,12,28,2.98
254,Visby,SE,2020-04-15 22:48:56,57.64,18.3,45.0,75,21,18.34
255,Saint-Georges,GD,2020-04-15 22:48:57,12.06,-61.75,82.4,74,20,12.75
256,Constitucion,CL,2020-04-15 22:48:18,-35.33,-72.42,55.11,74,99,3.44
257,Alta,NO,2020-04-15 22:48:57,69.97,23.27,35.6,74,91,20.8
258,Bambous Virieux,MU,2020-04-15 22:48:57,-20.34,57.76,77.0,83,40,12.75
259,Havelock,US,2020-04-15 22:48:57,34.88,-76.9,55.0,58,75,12.75
260,Clyde River,CA,2020-04-15 22:48:58,70.47,-68.59,6.8,84,75,19.46
261,Auki,SB,2020-04-15 22:48:38,-8.77,160.7,85.46,67,99,4.9
262,Tiarei,PF,2020-04-15 22:48:58,-17.53,-149.33,89.6,66,15,9.17
263,Cherskiy,RU,2020-04-15 22:48:58,68.75,161.3,7.99,92,89,4.23
264,San Patricio,MX,2020-04-15 22:47:59,19.22,-104.7,80.6,78,20,11.41
265,Arraial Do Cabo,BR,2020-04-15 22:48:59,-22.97,-42.03,77.0,88,40,5.82
266,Mattru,SL,2020-04-15 22:48:59,7.62,-11.83,78.64,88,92,1.63
267,Inyonga,TZ,2020-04-15 22:48:59,-6.72,32.07,66.07,69,93,4.09
268,Comodoro Rivadavia,AR,2020-04-15 22:46:45,-45.87,-67.5,66.2,55,88,5.82
269,Kothapet,IN,2020-04-15 22:48:59,19.33,79.48,80.47,32,0,6.55
270,Saint-Pierre,RE,2020-04-15 22:49:00,-21.34,55.48,75.2,73,40,6.93
271,Faanui,PF,2020-04-15 22:49:00,-16.48,-151.75,83.52,66,50,8.77
272,Kathmandu,NP,2020-04-15 22:45:50,27.72,85.32,62.6,82,20,3.36
273,Ossora,RU,2020-04-15 22:49:00,59.24,163.07,29.41,97,100,4.56
274,Cabo San Lucas,MX,2020-04-15 22:48:33,22.89,-109.91,82.0,41,5,9.17
275,Mar Del Plata,AR,2020-04-15 22:45:53,-38.0,-57.56,59.0,71,20,6.93
276,Tuatapere,NZ,2020-04-15 22:49:01,-46.13,167.68,51.01,73,54,15.99
277,Port Alfred,ZA,2020-04-15 22:49:01,-33.59,26.89,60.01,90,33,3.0
278,Pangody,RU,2020-04-15 22:49:01,65.85,74.49,12.22,90,0,11.03
279,Beyneu,KZ,2020-04-15 22:47:54,45.32,55.2,50.63,43,16,17.09
280,Georgetown,MY,2020-04-15 22:49:02,5.41,100.34,78.8,94,40,2.24
281,Joshimath,IN,2020-04-15 22:49:02,30.57,79.57,46.63,23,12,6.49
282,North Bend,US,2020-04-15 22:49:02,43.41,-124.22,62.01,76,20,13.87
283,Mandan,US,2020-04-15 22:47:43,46.83,-100.89,39.2,29,40,11.41
284,Ndele,CF,2020-04-15 22:49:02,8.41,20.65,77.23,17,22,3.11
