City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
151,Alta Floresta,BR,2020-04-20 00:15:20,-9.88,-56.09,72.99,86,47,0.89,moderate rain,3.01,0.0
152,Impfondo,CG,2020-04-20 00:15:20,1.64,18.07,72.01,87,89,2.3,light rain,0.28,0.0
153,Stokmarknes,NO,2020-04-20 00:15:21,68.56,14.91,42.01,87,100,10.0,light rain,1.47,0.0
154,Faanui,PF,2020-04-20 00:15:21,-16.48,-151.75,82.83,75,60,15.23,light rain,0.37,0.0
155,Mikkeli,FI,2020-04-20 00:15:21,61.69,27.27,39.2,69,88,3.36,overcast clouds,0.0,0.0
156,Knysna,ZA,2020-04-20 00:15:22,-34.04,23.05,59.0,77,0,3.36,clear sky,0.0,0.0
157,Bonthe,SL,2020-04-20 00:15:22,7.53,-12.51,81.45,79,100,7.96,overcast clouds,0.0,0.0
158,Victoria,HK,2020-04-20 00:12:06,22.29,114.16,78.01,83,85,5.01,overcast clouds,0.0,0.0
159,Tiksi,RU,2020-04-20 00:15:23,71.69,128.87,14.04,91,94,6.31,overcast clouds,0.0,0.0
160,Olafsvik,IS,2020-04-20 00:15:23,64.89,-23.71,44.38,91,100,21.25,light rain,1.74,0.0
161,Dordrecht,NL,2020-04-20 00:15:23,51.81,4.67,52.0,54,0,5.01,clear sky,0.0,0.0
162,Hannibal,US,2020-04-20 00:15:24,39.71,-91.36,64.4,23,1,8.05,clear sky,0.0,0.0
163,Srednekolymsk,RU,2020-04-20 00:15:24,67.45,153.68,9.52,93,86,12.19,light snow,0.0,0.19
164,Talara,PE,2020-04-20 00:15:24,-4.58,-81.27,75.07,71,20,11.79,few clouds,0.0,0.0
165,Bethel,US,2020-04-20 00:15:25,41.37,-73.41,57.2,35,1,10.29,clear sky,0.0,0.0
166,Sola,VU,2020-04-20 00:15:25,-13.88,167.55,86.0,89,75,5.82,broken clouds,0.0,0.0
167,Airai,TL,2020-04-20 00:15:25,-8.93,125.41,67.21,52,0,2.8,clear sky,0.0,0.0
168,Teguise,ES,2020-04-20 00:15:25,29.06,-13.56,64.4,72,40,6.93,scattered clouds,0.0,0.0
169,Savinka,RU,2020-04-20 00:15:26,50.08,47.1,40.8,74,51,4.07,broken clouds,0.0,0.0
170,Chimbote,PE,2020-04-20 00:15:26,-9.09,-78.58,72.19,76,1,8.63,clear sky,0.0,0.0
171,Esperance,AU,2020-04-20 00:15:26,-33.87,121.9,51.8,87,0,8.05,clear sky,0.0,0.0
172,Grindavik,IS,2020-04-20 00:15:27,63.84,-22.43,46.4,100,90,29.97,light intensity drizzle rain,0.0,0.0
173,Vila Do Maio,CV,2020-04-20 00:15:28,15.13,-23.22,71.6,64,20,19.46,few clouds,0.0,0.0
174,Port Blair,IN,2020-04-20 00:15:28,11.67,92.75,83.32,77,11,6.38,few clouds,0.0,0.0
175,Bongandanga,CD,2020-04-20 00:15:30,1.5,21.05,70.79,87,88,2.75,overcast clouds,0.0,0.0
176,Touho,NC,2020-04-20 00:15:30,-20.78,165.23,81.05,75,99,9.55,light rain,1.69,0.0
177,Rockingham,US,2020-04-20 00:15:31,42.97,-71.1,57.99,33,53,1.99,broken clouds,0.0,0.0
178,Saint-Joseph,RE,2020-04-20 00:15:31,-21.37,55.62,75.2,83,75,19.46,broken clouds,0.0,0.0
179,Ojo De Agua,HN,2020-04-20 00:15:31,14.02,-86.35,83.86,26,0,5.82,clear sky,0.0,0.0
180,Mariinsk,RU,2020-04-20 00:15:32,56.21,87.75,38.86,69,90,6.89,overcast clouds,0.0,0.0
181,Xining,CN,2020-04-20 00:15:32,36.62,101.77,39.6,27,100,3.62,overcast clouds,0.0,0.0
182,Lasa,IT,2020-04-20 00:13:24,46.62,10.7,46.4,100,90,2.24,overcast clouds,0.0,0.0
183,Lompoc,US,2020-04-20 00:15:33,34.64,-120.46,62.01,67,40,13.87,scattered clouds,0.0,0.0
184,Havoysund,NO,2020-04-20 00:15:33,71.0,24.66,37.4,100,75,39.15,light rain,0.0,0.0
185,Hasaki,JP,2020-04-20 00:15:33,35.73,140.83,48.2,93,75,8.05,light rain,0.0,0.0
186,Bahar,IR,2020-04-20 00:15:34,34.91,48.44,51.66,42,51,1.05,broken clouds,0.0,0.0
187,Khanpur,PK,2020-04-20 00:15:34,28.65,70.66,79.23,29,38,4.38,light rain,0.14,0.0
188,Kisangani,CD,2020-04-20 00:15:35,0.52,25.2,71.02,80,99,1.19,overcast clouds,0.0,0.0
189,Ahipara,NZ,2020-04-20 00:15:35,-35.17,173.17,63.28,90,100,5.37,moderate rain,4.04,0.0
190,Ranong,TH,2020-04-20 00:12:57,9.97,98.63,78.8,94,20,4.45,few clouds,0.0,0.0
191,Turan,VN,2020-04-20 00:14:08,16.07,108.22,77.0,83,20,1.12,few clouds,0.0,0.0
192,Itupiranga,BR,2020-04-20 00:15:36,-5.13,-49.33,80.6,94,20,3.36,thunderstorm,0.0,0.0
193,Namibe,AO,2020-04-20 00:15:36,-15.2,12.15,75.31,65,19,2.8,light rain,1.52,0.0
194,Hermanus,ZA,2020-04-20 00:15:36,-34.42,19.23,61.0,93,38,1.01,scattered clouds,0.0,0.0
